year,month,NCP,MOI
2001,6,0.11387858,0.90580803
2001,7,-0.22463393,1.1203036
2001,8,0.4745612,0.90333486
2001,9,-0.2515027,-0.04748407
2001,10,0.97304386,0.3560467
2001,11,1.0548605,-0.49380708
2001,12,0.31483856,0.15739715
2002,1,1.4463311,1.1260262
2002,2,-0.59702325,0.62849605
2002,3,0.8861188,0.014261536
2002,4,-0.0220685,-0.8261708
2002,5,0.31128165,-0.25304174
2002,6,0.031799853,0.7364114
2002,7,-0.7042657,0.9194464
2002,8,0.9745631,0.57441723
2002,9,0.70829564,-0.10800545
2002,10,-0.3160355,0.020723097
2002,11,-0.36625248,-1.3767409
2002,12,1.4437023,-0.7240509
2003,1,0.2722472,-0.4311329
2003,2,1.2509491,-0.15774083
2003,3,1.2143724,0.9481548
2003,4,0.087934405,-0.5307325
2003,5,-0.8375433,0.9571404
2003,6,0.62335503,0.61735684
2003,7,-0.10365772,1.2889562
2003,8,0.13506198,1.0152736
2003,9,0.17885923,0.74378145
2003,10,-0.5662598,-1.2017957
2003,11,0.055883914,-1.0239179
2003,12,0.4479298,-0.29194736
2004,1,-1.2804093,0.21240453
2004,2,0.61651164,-0.315763
2004,3,0.44650087,-0.11255443
2004,4,0.40292653,-0.6830334
2004,5,-0.4303762,-0.196432
2004,6,-0.19640929,0.7962031
2004,7,-0.6729165,1.3161831
2004,8,-0.46623093,0.6249229
2004,9,0.2867229,0.81634825
2004,10,-0.29806545,-0.9476192
2004,11,1.0934947,0.032877862
2004,12,0.86252344,-1.2068627
2005,1,0.39821595,1.6106863
2005,2,-0.1330111,-0.33461738
2005,3,1.0389655,-0.38488212
2005,4,-0.60052204,-0.43747872
2005,5,-1.1974666,0.12805556
2005,6,0.474061,0.7254573
2005,7,0.0030368567,0.90447474
2005,8,-0.01807475,1.2170626
2005,9,0.31258786,0.59496933
2005,10,0.0880155,-0.08268845
2005,11,-0.90515316,-1.020731
2005,12,-0.0053486824,-0.08699876
2006,1,1.91971,-0.34215367
2006,2,0.19377154,-0.66577363
2006,3,-0.57016104,-0.7337142
2006,4,-0.8861771,-0.39734092
2006,5,-0.7008225,-0.02254419
2006,6,0.020621538,0.46062014
2006,7,1.266189,1.3019892
2006,8,-0.5550245,0.80935454
2006,9,0.5210622,0.07229972
2006,10,0.2507738,-0.23912267
2006,11,0.0013873577,0.20060265
2006,12,1.2200152,0.39204872
2007,1,0.2633161,0.44454002
2007,2,0.62018466,0.06456676
2007,3,-0.22246817,-0.16518894
2007,4,1.475043,-0.4323178
2007,5,-0.5936866,0.25301486
2007,6,0.24669206,0.4883635
2007,7,-0.88225955,1.4212813
2007,8,-0.5518818,0.601382
2007,9,0.08975935,0.66883147
2007,10,0.451306,-0.34303775
2007,11,0.82172006,-0.6663121
2007,12,0.64807856,0.56183815
2008,1,-0.5798439,0.6406753
2008,2,1.470859,0.5510881
2008,3,-1.3245203,-0.5295148
2008,4,-1.0552158,-0.5901906
2008,5,0.40842372,-1.1714075
2008,6,-0.16720796,0.7929441
2008,7,-0.5470928,1.1469889
2008,8,-0.62635416,1.0472522
2008,9,0.47509974,0.13187021
2008,10,-0.73724616,-0.5557527
2008,11,-0.34748775,-1.1426651
2008,12,-0.27523988,-1.1842467
2009,1,-0.06415784,-2.0035057
2009,2,-0.24820048,-0.8208685
2009,3,-0.21649134,-0.8612157
2009,4,1.1938425,-0.6077634
2009,5,-0.06421813,0.07543082
2009,6,-0.6247294,0.4510852
2009,7,-0.4628108,1.2077181
2009,8,0.12541938,0.7312018
2009,9,0.6235838,0.29064676
2009,10,0.030872643,0.15641187
2009,11,-1.6689118,-0.5400988
2009,12,-0.70125663,-2.2055254
2010,1,-0.17782664,-1.8747761
2010,2,-1.3526046,-2.5608382
2010,3,0.4609663,-0.42354688
2010,4,-0.11595439,-0.0860534
2010,5,-0.9417517,-0.19351256
2010,6,-0.14202154,0.25753558
2010,7,-0.57945025,1.1476486
2010,8,-0.9919243,1.2586246
2010,9,-0.30439627,0.21642956
2010,10,-0.11663294,-1.1303656
2010,11,-1.3494644,-2.1268132
2010,12,-0.87364346,-1.5936403
2011,1,-0.051187634,-0.30916095
2011,2,1.0849521,0.471297
2011,3,1.2903146,-0.9467013
2011,4,1.1320169,-0.096536785
2011,5,-0.37241912,0.2347792
2011,6,-0.03899932,0.8527037
2011,7,-0.9743271,0.6338446
2011,8,-0.40810823,0.7517672
2011,9,0.03216648,0.89167964
2011,10,0.51239944,0.26702258
2011,11,2.0734653,-1.3161117
2011,12,-1.2677857,0.56227684
2012,1,-0.430609,1.0683892
2012,2,1.0075984,0.5927744
2012,3,2.735572,0.75395966
2012,4,-2.1708088,-1.7876183
2012,5,-0.44233721,0.28965372
2012,6,-1.3156714,0.5705698
2012,7,-1.0340874,1.4810126
2012,8,-0.5237615,0.91738856
2012,9,-0.018363357,0.18625948
2012,10,-0.8199427,-1.1293001
2012,11,-0.31426358,-1.4737909
