snow,driver,n,r_pearson,p_pearson,r_detrended,p_detrended,r_spearman,p_spearman,family,q_pearson,sig_pearson,q_detrended,sig_detrended
sle_mean,EAWR_DJF,24,-0.38883294609767516,0.060639679443970244,-0.40080256935486747,0.05514618512798475,-0.4248749828641239,0.03867415743575113,circulation,0.1965562023356277,False,0.16073616750482378,False
sle_mean,SCAND_DJF,24,0.2961207680107573,0.16730805898680345,0.445926432702363,0.06229535120055391,0.38608695652173913,0.06702243157163323,circulation,0.3874283761277991,False,0.17350408926969088,False
sle_mean,POL_DJF,24,-0.33632864621581954,0.11224596684484353,-0.20137902701671434,0.44339587372017475,-0.2895652173913043,0.17495622777492775,circulation,0.29308669120598035,False,0.6616407697054542,False
sle_mean,AO_DJF,24,-0.3639917413253228,0.08314662172964608,-0.5181704352488625,0.0178844688964837,-0.4652173913043478,0.02320683925844896,circulation,0.24616637614446402,False,0.06565509831401324,False
sle_mean,NINO34_DJF,24,-0.11772559878757023,0.5846528690818926,-0.18164513718824934,0.4029000384703805,-0.06695652173913043,0.7564518978831812,circulation,0.7477193155605157,False,0.6302485680894084,False
sle_mean,DMI_DJF,24,0.3170398270377459,0.12902006239077274,0.10367862445348354,0.6486999266601021,0.2417391304347826,0.2524504962955373,circulation,0.32126849972801685,False,0.7997087620465522,False
sle_mean,AMO_DJF,23,-0.03140432210983697,0.8869640382483059,-0.2053379107778128,0.35906129773897566,-0.10276679841897234,0.6410130861523868,circulation,0.9341694072307088,False,0.5952973150186331,False
sle_mean,NCP_DJF,24,-0.35743215872508743,0.08931474598359318,-0.350285167468414,0.12290192576004727,-0.3643478260869565,0.08285862264552571,circulation,0.25441170068053814,False,0.2971778577085781,False
sle_mean,MOI_DJF,24,-0.4305985919326166,0.035909353026580736,-0.5360417984552079,0.007612075972198616,-0.48869565217391303,0.015509958702109394,circulation,0.13368234394053818,False,0.03490415323837415,True
sle_mean,NAO_SON,24,-0.02348399178760837,0.9145247443369857,-0.05286501443429123,0.8289592784145714,-0.05391304347826086,0.8052531662046956,circulation,0.9472763192030487,False,0.8914366474386988,False
sle_mean,EA_SON,24,0.30134724091304443,0.15322215325835828,0.131214291632235,0.5859804873275409,0.34551797245951105,0.09883618142026736,circulation,0.3646299343363463,False,0.7682783713892082,False
sle_mean,WP_SON,24,-0.14549341552929004,0.5017099703880652,-0.1489889274032532,0.5213235459959037,-0.21743857874315448,0.3121130185230757,circulation,0.6924255289692474,False,0.7314091540838051,False
sle_mean,EAWR_SON,24,-0.3623888290542326,0.08641926774863556,-0.3671241250023183,0.11998594366569237,-0.2782608695652174,0.194571524443819,circulation,0.24877557374121648,False,0.29295269362532683,False
sle_mean,SCAND_SON,24,0.35263681921559853,0.09303028956979491,0.46479435101511823,0.028146721706697304,0.3182608695652174,0.13200873169552732,circulation,0.25720138881060944,False,0.09449256572962665,False
sle_mean,POL_SON,24,0.040461301139208275,0.8483631758078306,0.15837572344805967,0.39940200389345804,0.05913043478260869,0.7798132478027331,circulation,0.9116043982228786,False,0.6283479224432645,False
sle_mean,AO_SON,24,-0.03628953919618663,0.8698911724142421,-0.09255089829846454,0.7347610313820327,-0.09217391304347824,0.6768317690601118,circulation,0.9265696340729604,False,0.8474544411032033,False
