snow,index,n,r_simple,p_simple,r_partial,p_partial,attenuation,q_partial,sig_partial
sle_djfm,EAWR_ONDJFM,24,-0.3656230641239536,0.08593175378688916,-0.11536959515702969,0.6091710356773385,0.2502534689669239,0.9719783445134552,False
sle_djfm,SCAND_ONDJFM,24,0.1070884004451278,0.602722354329396,-0.14590340511981206,0.5170611631095339,-0.03881500467468427,0.9719783445134552,False
sle_djfm,POL_ONDJFM,24,-0.42857601209194673,0.03375272204518999,-0.14836086418233124,0.5099495126923557,0.2802151479096155,0.9719783445134552,False
sle_djfm,AO_ONDJFM,24,-0.2267237595860298,0.27523132102652004,0.3010013384176356,0.1734416663735497,-0.0742775788316058,0.9476057848447951,False
sle_djfm,NINO34_ONDJFM,24,-0.01338082246249131,0.9503543602477653,0.249615566111061,0.262582434968947,-0.2362347436485697,0.9476057848447951,False
sle_djfm,DMI_ONDJFM,24,0.2127690572445759,0.3250098616587547,0.3266482638028566,0.1378790454100673,-0.11387920655828071,0.9476057848447951,False
sle_djfm,AMO_ONDJFM,23,0.16138695432468378,0.46243241412499736,0.0018662050271425034,0.9935943949199639,0.1595207492975413,0.9991570768682322,False
sle_djfm,NCP_ONDJFM,24,-0.6370009377972529,0.0006009523529327228,0.030618278511311006,0.8924057636204363,0.6063826592859418,0.9812701600411018,False
sle_djfm,MOI_ONDJFM,24,-0.40452334414044416,0.048655872820951,0.11635960048734006,0.6060818896844435,0.2881637436531041,0.9719783445134552,False
sle_djfm,NAO_DJF,24,-0.16758939071478807,0.4448552307228991,0.05671149454117808,0.802065481760566,0.11087789617360999,0.9719783445134552,False
sle_djfm,EA_DJF,24,0.13768158979237344,0.5226181974865347,0.0632854706262503,0.7796396981831655,0.07439611916612314,0.9719783445134552,False
sle_djfm,WP_DJF,24,0.208336924222026,0.34131527582884125,0.2281594830560454,0.30713785056488047,-0.0198225588340194,0.9719783445134552,False
sle_djfm,EAWR_DJF,24,-0.5612769030108447,0.004242662408280387,-0.23024407097375107,0.30261800455441423,0.33103283203709355,0.9719783445134552,False
sle_djfm,SCAND_DJF,24,0.14675932483222703,0.47722678748706737,-0.02671920444357338,0.9060444141128966,0.12004012038865365,0.9812701600411018,False
sle_djfm,POL_DJF,24,-0.5854047802311316,0.002044552954311569,-0.22388485936028532,0.3165343750558879,0.3615199208708463,0.9719783445134552,False
sle_djfm,AO_DJF,24,-0.3984198093579563,0.04914534913494307,0.03613130250712402,0.8731725169533215,0.36228850685083225,0.9784968283367961,False
sle_djfm,NINO34_DJF,24,-0.004785175515759264,0.9822056859304806,0.2713976028223747,0.22180036314378368,-0.26661242730661544,0.9476057848447951,False
sle_djfm,DMI_DJF,24,0.39932698582443105,0.056208808899594696,0.42710042324910935,0.04742409920390159,-0.027773437424678304,0.9467485148568299,False
